metricDescriptorId,resourceId,displayName,attributes,unit
66dedf892718e8b99c5c5d62,66dedf8945d1a4943a5c84c6,"{'en': 'Acceleration - RMS - Global', 'es': 'Aceleración - RMS - Global', 'pt': 'Aceleração - RMS - Global', 'fr': 'Accélération - RMS - Global'}","{'physicalQuantity': 'acceleration', 'axis': 'x', 'source': 'dynamox-dyna-logger', 'statisticalProcessing': 'rms'}",g
66dedf892718e8b99c5c5d6d,66dedf8945d1a4943a5c84c6,"{'en': 'Acceleration - RMS - Global', 'es': 'Aceleración - RMS - Global', 'pt': 'Aceleração - RMS - Global', 'fr': 'Accélération - RMS - Global'}","{'physicalQuantity': 'acceleration', 'axis': 'y', 'source': 'dynamox-dyna-logger', 'statisticalProcessing': 'rms'}",g
66dedf892718e8b99c5c5d78,66dedf8945d1a4943a5c84c6,"{'en': 'Acceleration - RMS - Global', 'es': 'Aceleración - RMS - Global', 'pt': 'Aceleração - RMS - Global', 'fr': 'Accélération - RMS - Global'}","{'physicalQuantity': 'acceleration', 'axis': 'z', 'source': 'dynamox-dyna-logger', 'statisticalProcessing': 'rms'}",g
66dedf892718e8b99c5c5d88,66dedf8945d1a4943a5c84c6,"{'en': 'Temperature', 'es': 'Temperatura', 'pt': 'Temperatura', 'fr': 'Température'}","{'physicalQuantity': 'temperature', 'source': 'dynamox-dyna-logger'}",°C
66dedf892718e8b99c5c5d97,66dedf8945d1a4943a5c84c6,"{'en': 'Velocity - RMS - Global', 'es': 'Velocidad - RMS - Global', 'pt': 'Velocidade - RMS - Global', 'fr': 'Vitesse - RMS - Global'}","{'physicalQuantity': 'velocity', 'axis': 'x', 'source': 'dynamox-dyna-logger', 'statisticalProcessing': 'rms'}",mm/s
66dedf892718e8b99c5c5da2,66dedf8945d1a4943a5c84c6,"{'en': 'Velocity - RMS - Global', 'es': 'Velocidad - RMS - Global', 'pt': 'Velocidade - RMS - Global', 'fr': 'Vitesse - RMS - Global'}","{'physicalQuantity': 'velocity', 'axis': 'y', 'source': 'dynamox-dyna-logger', 'statisticalProcessing': 'rms'}",mm/s
66dedf892718e8b99c5c5dad,66dedf8945d1a4943a5c84c6,"{'en': 'Velocity - RMS - Global', 'es': 'Velocidad - RMS - Global', 'pt': 'Velocidade - RMS - Global', 'fr': 'Vitesse - RMS - Global'}","{'physicalQuantity': 'velocity', 'axis': 'z', 'source': 'dynamox-dyna-logger', 'statisticalProcessing': 'rms'}",mm/s
66ddd6672718e8b99c220884,66ddd667ea40c41c2eee6f05,"{'en': 'Acceleration - RMS - Global', 'es': 'Aceleración - RMS - Global', 'pt': 'Aceleração - RMS - Global', 'fr': 'Accélération - RMS - Global'}","{'physicalQuantity': 'acceleration', 'axis': 'x', 'source': 'dynamox-dyna-logger', 'statisticalProcessing': 'rms'}",g
66ddd6672718e8b99c22088f,66ddd667ea40c41c2eee6f05,"{'en': 'Acceleration - RMS - Global', 'es': 'Aceleración - RMS - Global', 'pt': 'Aceleração - RMS - Global', 'fr': 'Accélération - RMS - Global'}","{'physicalQuantity': 'acceleration', 'axis': 'y', 'source': 'dynamox-dyna-logger', 'statisticalProcessing': 'rms'}",g
66ddd6672718e8b99c22089a,66ddd667ea40c41c2eee6f05,"{'en': 'Acceleration - RMS - Global', 'es': 'Aceleración - RMS - Global', 'pt': 'Aceleração - RMS - Global', 'fr': 'Accélération - RMS - Global'}","{'physicalQuantity': 'acceleration', 'axis': 'z', 'source': 'dynamox-dyna-logger', 'statisticalProcessing': 'rms'}",g
66ddd6672718e8b99c2208a5,66ddd667ea40c41c2eee6f05,"{'en': 'Velocity - RMS - Global', 'es': 'Velocidad - RMS - Global', 'pt': 'Velocidade - RMS - Global', 'fr': 'Vitesse - RMS - Global'}","{'physicalQuantity': 'velocity', 'axis': 'x', 'source': 'dynamox-dyna-logger', 'statisticalProcessing': 'rms'}",mm/s
66ddd6672718e8b99c2208b0,66ddd667ea40c41c2eee6f05,"{'en': 'Velocity - RMS - Global', 'es': 'Velocidad - RMS - Global', 'pt': 'Velocidade - RMS - Global', 'fr': 'Vitesse - RMS - Global'}","{'physicalQuantity': 'velocity', 'axis': 'y', 'source': 'dynamox-dyna-logger', 'statisticalProcessing': 'rms'}",mm/s
66ddd6672718e8b99c2208bb,66ddd667ea40c41c2eee6f05,"{'en': 'Velocity - RMS - Global', 'es': 'Velocidad - RMS - Global', 'pt': 'Velocidade - RMS - Global', 'fr': 'Vitesse - RMS - Global'}","{'physicalQuantity': 'velocity', 'axis': 'z', 'source': 'dynamox-dyna-logger', 'statisticalProcessing': 'rms'}",mm/s
66ddd6672718e8b99c2208c8,66ddd667ea40c41c2eee6f05,"{'en': 'Temperature', 'es': 'Temperatura', 'pt': 'Temperatura', 'fr': 'Température'}","{'physicalQuantity': 'temperature', 'source': 'dynamox-dyna-logger'}",°C
66d70a352718e8b99cb0bb9f,66d70a35a6119ffc0cd30d32,"{'en': 'Acceleration - RMS - Global', 'es': 'Aceleración - RMS - Global', 'pt': 'Aceleração - RMS - Global', 'fr': 'Accélération - RMS - Global'}","{'physicalQuantity': 'acceleration', 'axis': 'x', 'source': 'dynamox-dyna-logger', 'statisticalProcessing': 'rms'}",g
