datetime,temperature,Componente
2024-09-19T01:09:27.000Z,47.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T02:09:27.000Z,43.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T03:09:27.000Z,41.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T04:09:27.000Z,39.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T05:09:27.000Z,37.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T06:09:27.000Z,35.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T07:09:27.000Z,34.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T08:09:27.000Z,33.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T09:09:27.000Z,32.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T10:09:27.000Z,32.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T11:09:27.000Z,45.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T12:09:27.000Z,52.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T13:09:27.000Z,58.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T14:09:27.000Z,63.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T15:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T16:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T17:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T18:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T19:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T20:09:27.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T21:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T22:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-19T23:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T00:09:27.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T01:09:27.000Z,78.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T02:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T03:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T04:09:27.000Z,73.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T05:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T06:09:27.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T07:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T08:09:27.000Z,74.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T09:09:27.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T10:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T11:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T12:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T13:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T14:09:27.000Z,67.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T15:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T16:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T17:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T18:09:27.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T19:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T20:09:27.000Z,68.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T21:09:27.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T22:09:27.000Z,65.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-20T23:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T00:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T01:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T02:09:27.000Z,77.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T03:09:27.000Z,79.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T04:09:27.000Z,77.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T05:09:27.000Z,76.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T06:09:27.000Z,75.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T07:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T08:09:27.000Z,66.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T09:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T10:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T11:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T12:09:27.000Z,71.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T13:09:27.000Z,69.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T14:09:27.000Z,70.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T15:09:27.000Z,72.0,EM3401 102B0444 Redutor Giro Traseiro
2024-09-21T16:09:27.000Z,66.0,EM3401 102B0444 Redutor Giro Traseiro
